English;Fran�ais
Coat hanger abortions;Des plans de n�gres
Man meat;La graine d'un homme
Autocannibalism;La chienne � Jacques
Vigorous jazz hands;La chienne
Flightless birds;La truie
Pictures of boobs;Les boules
Doing the right thing;Les totons
Hunting accidents;Les couilles
A cartoon camel enjoying the smooth;Fourrer une ch�vre
The violation of our most basic human rights;Sucer un autre homme
Viagra;Manger des plottes
Self-loathing;La mettre dans le cul
Spectacular abs;Une petite crossette
An honest cop with nothing left to lose;Des b�b�s morts
Abstinence;Un toutou pr�f�r� plein de sang
A balanced breakfast;Une couille dans le potage
Mountain Dew Code Red;Le Redbull
Concealing a boner;Couvrir le bois
Roofies;Les drogues de viol
Glenn Beck convulsively vomiting as a brood of crab spiders hatches in his brain and erupts from his tear ducts;Eric Zemmour
Tweeting;Twitter
The Big Bang;Le Big Bang
Amputees;Les amputés
Dr. Marting Luther King Jr;L'Abbé Pierre
Former President George W. Bush;Le Président Sarkozy
Being marginalized;Etre marginalisé
Smegma;Le smegma
Laying an egg;Pondre un oeuf
Cuddling;Faire des câlins
Aaron Burr;Napoléon
The Pope;Le Pape
A bleached asshole;Le trou du cul blanchi
Horse meat;La viande chevaline
Genital piercings;Les piercings génitaux
Fingering;Mettre un doigt
Elderly Japanese men;Les vieux Japonais
Stranger danger;Accepter des bonbons de la part d'un inconnu
Fear itself;La peur elle-même
Science;La science
Praying the gay away;Guérir l'homosexualité
Same-sex ice dancing;Le patinage artistique de même sexe
The terrorists;Les terroristes
Making sex at her;Faire du sexe chez elle
German dungeon porn;Du porno SM allemand
Bingeing and purging;Le goinfrage et la purge
Ethnic cleansing;Le nettoyage ethnique
Cheating in the Special Olympics;Tricher à un tournoi Handisport
Nickelback;Nickelback
Heteronormativity;L'hétéronormativité
William Shatner;Michel Sardou
Making a pouty face;Faire la tronche
Chainsaws for hands;Une tronçonneuse à la place des mains
The placenta;Le placenta
The profoundly handicapped;Les polyhandicapés
Tom Cruise;Tom Cruise
Object permanence;La permanence de l'objet
Goblins;Les lutins
An icepick lobotomy;Une lobotomie au pic à glace
Arnold Schwarzenegger;Arnold Schwarzenegger
Hormone injections;Les injections d'hormones
A falcon with a cap on its head;
Foreskin;Le prépuce
Dying;Mourir
Stunt doubles;Les doublures
The invisible hand;La main invisible
Jew-fros;La moumoute juive
A really cool hat;Un chapeau vraiment cool
Flash flooding;Une crue-éclair
Flavored condoms;Les capotes à la fraise
Dying of disentery;Mourir de dysenterie
Sexy pillow fights;Une bataille de polochons en sous-vêtements
The Three-Fifths compromise;Le colonialisme
A sad handjob;Une branlette triste
Men;Les hommes
Historically black colleges;Le quota de défavorisés dans les Grandes Ecoles
Sean Penn;George Clooney
Heartwarming orphans;Des orphelins réconfortants
Waterboarding;Le waterboarding
The clitoris;Le clitoris
Vikings;Les Vikings
Friends who eat all the snacks;"Les ""amis"" qui mangent toutes les chips"
The Underground Railroad;La RATP
Pretending to care;Faire semblant d'être intéressé
Raptor attacks;Des attaques de velociraptors
A micropenis;Un micropenis
A Gypsy curse;Une malédiction de Gitans
Agriculture;L'agriculture
Bling;Le Bling
A clandestine butt scratch;Se gratter le cul ni vu ni connu
The South;Le Sud
Sniffing glue;Sniffer de la colle
Consultants;Les consultants
My humps; Mes poignets d'amour
Geese;Des oies
Being a dick to children;Se comporter comme un connard avec les enfants
Party poopers;Les rabat-joie
Sunshine and rainbows;Le soleil et les arcs-en-ciel
YOU MUST CONSTRUCT ADDITIONAL PYLONS;CASSE-TOI
Mutually-assured destruction;L'équilibre de la terreur
Heath Ledger;Heath Ledger
Sexting;Le sexting
An Oedipus complex;Un complexe d'Oedipe
Eating all of the cookies before the AIDS bake-sale;Voler une tirelire de Pièces Jaunes à un gamin
A sausage festival;Une saucisse-party
Michael Jackson;Michael Jackson
Skeletor;Skeletor
Chivalry;La chevalerie
Sharing needles;Partager ses seringues
Being rich;Etre riche
Muzzy;De la beuh
Count Chocula;Le retour de Groquick
Spontaneous human combustion;La combustion humaine spontanée
College;La fac
Necrophilia;La nécrophilie
The Chinese gymnastics team;L'équipe de gymnastique chinoise
Global warming;Le réchauffement climatique
Farting and walking away;Lâcher une caisse et se barrer vite fait
Cookie Monster devouring the Eucharist wafers;Prendre les osties pour des chips
Stifling a giggle at the mention of Hutus and Tutsis;Réprimer un ricanement à la mention des Hutu et des Tutsi
Penis envy;Un concours de bites
Letting yourself go;Se laisser aller
White people;Les Blancs
Dick Cheney;Nadine Morano
Leaving an awkward voicemail;Laisser un message maladroit sur un répondeur
Yeast;Des mycoses
Natural selection;La sélection naturelle
Masturbation;La masturbation
Twinkies;Les Balistos
A LAN party;Une LAN
Opposable thumbs;Les pouces opposables aux autres doigts
A grande sugar-free iced soy caramel macchiato;Un grand Caramel Frappucino light
Soiling oneself;Se faire dessus
A sassy black woman;Une Renoi effrontée
Sperm whales;Les cachalots
Teaching a robot to love;Apprendre à un robot comment aimer
Scrubbing under the folds;Bien nettoyer sous les plis
A drive-by shooting;Une fusillade en voiture
Whipping it out;Montrer sa bite
Panda sex;La reproduction des pandas
Catapults;Des catapultes
Will Smith;Will Smith
Toni Morrison's vagina;La chatte de Line Renaud
Five-Dollar Foot-longs;Les Double-Whoopers
Land mines;Les mines antipersonnel
A sea of troubles;Une tonne d'emmerdes
A zesty breakfast burrito;
Christopher Walken;Christopher Walken
Friction;Des tensions
Balls;Les boules
AIDS;Le SIDA
The KKK;Le Front National
Figgy pudding;
Seppuku;Seppuku
Marky Mark and the Funky Bunch;Emile et images
Gandhi;Gandhi
Dave Matthews Band;Coldplay
Preteens;Les pré-adolescents
The token minority;La caution minoritaire
Friends with benefits;Les sexbuddies
Re-gifting;Ré-offrir des cadeaux reçus
Pixelated bukkake;Du bukkake pixelisé
Substitute teachers;Des remplaçants
Take-backsies;Les changements d'avis
A thermonuclear detonation;Une détonation thermonucléaire
The Tempur-Pedic Swedish Sleep System;
Waiting 'til marriage;Pas avant le mariage
A tiny horse;Un petit cheval
A can of whoop-ass;Une grosse branlée de derrière les fagots
Dental dams;Les digues dentaires
Feeding Rosie O'Donnell;Nourrir Valérie Damidot
Old-people smell;L'odeur des vieux
Genghis Khan;Genghis Khan
Authentic Mexican cuisine;La cuisine mexicaine authentique
Oversized lollipops;Les sucettes géantes
Garth Brooks;Pascal Obispo
Keanu Reeves;Keanu Reeves
Drinking alone;Boire seul
The American Dream;Le rêve américain
Taking off your shirt;Enlever son T-Shirt
Giving 110%;Se donner à 110%
Flesh-eating bacteria;"Une bactérie ""mangeuse de chair"""
Child abuse;La maltraitance sur mineurs
A cooler full of organs;Une glacière remplie d'organes
A moment of silence;Un moment de silence
The Rapture;La fin du monde
Keeping Christ in Chrismas;Rendre Noël aux chrétiens
Robocop ;Robocop
That one gay Teletubby;Le Teletubby qui est gay là.
Sweet;
Fancy Feast;Royal Canin
Pooping back and forth. Forever.;Poop back and forth
Being a motherfucking sorcerer;Etre un putain de sorcier
Jewish fraternities;Les communautés juives
Edible underpants;Des sous-vêtements comestibles
Poor people;Les pauvres
All-you-can-eat shrimps for $4.99;Un buffet de crevettes à volonté pour 5 euros
Britney Spears at 55;Britney Spears à 55 ans
That thing that electrocutes your abs;Ce truc qui électrocutes tes abdos
The folly of man;La folie de l'homme
Fiery poops;Un étron fougueux
Cards Against Humanity;Cards Against Humanity
A murder most foul;Un meurtre des plus répugnants
Me time;Du temps à moi
The inevitable heat death of the universe;L'inévitable mort thermique de l'univers
Nocturnal emissions;Des pollutions nocturnes
Daddy issues;Le complexe d'Electre
